Name,Team,ERA-,GB/FB,Zone%,O-Swing%,K%,HardHit%,WHIP,Relief-IP,pred_ERA-,diff_ERA-
Edwin Díaz,NYM,40,1.78,0.415,0.298,0.38799999999999996,0.373,0.89,39.1,45.60646392732303,5.606463927323027
Jhoan Duran,MIN,48,3.9,0.455,0.326,0.264,0.40700000000000003,1.14,46.1,51.02442173461648,3.0244217346164817
Griffin Jax,MIN,92,2,0.414,0.428,0.376,0.451,1.15,43.1,53.633911247416236,-38.366088752583764
Phil Maton,STL,61,1.58,0.44,0.326,0.309,0.306,1.18,36.1,58.05899812417815,-2.941001875821847
Adrian Morejon,SDP,44,1.91,0.47,0.37200000000000005,0.254,0.244,0.78,46,58.69508168048463,14.695081680484627
Abner Uribe,MIL,54,1.9,0.461,0.28600000000000003,0.3,0.36200000000000004,1.14,49.1,59.89804040769757,5.898040407697572
Tyler Rogers,SFG,38,2.93,0.52,0.34299999999999997,0.198,0.313,0.79,46.2,62.36870033189329,24.368700331893287
Gabe Speier,SEA,69,1.03,0.456,0.40299999999999997,0.342,0.39299999999999996,0.97,38,62.99745489221463,-6.002545107785373
David Bednar,PIT,55,1.16,0.465,0.321,0.33799999999999997,0.42200000000000004,1.11,35,64.38118636789679,9.381186367896788
Félix Bautista,BAL,65,1.4,0.402,0.289,0.35200000000000004,0.42,1.13,34.2,64.4471625608186,-0.5528374391814026
Louis Varland,MIN,53,2.48,0.5,0.34299999999999997,0.251,0.395,1.06,46.1,64.48234970989841,11.482349709898415
Garrett Whitlock,BOS,76,1.33,0.434,0.348,0.311,0.35700000000000004,1.14,47.1,65.89673609888314,-10.103263901116861
Aaron Bummer,ATL,83,3.21,0.42,0.318,0.23399999999999999,0.38799999999999996,1.28,36.2,67.78102830052507,-15.218971699474935
Andrés Muñoz,SEA,38,1.68,0.382,0.32299999999999995,0.331,0.415,0.92,38,67.92339549626821,29.923395496268213
Devin Williams,NYY,117,1.14,0.38299999999999995,0.35700000000000004,0.319,0.344,1.12,38.1,69.99479121791022,-47.00520878208978
Will Vest,DET,56,2.13,0.42100000000000004,0.33,0.284,0.414,0.99,44.1,70.22034937639282,14.220349376392818
Brendon Little,TOR,48,2.08,0.298,0.34600000000000003,0.354,0.45799999999999996,1.25,46.1,70.44708035410711,22.447080354107115
Bryan King,HOU,64,1.08,0.498,0.32799999999999996,0.26,0.319,1.09,42.1,70.9726139620076,6.9726139620076
Brad Keller,CHC,78,2.26,0.397,0.33,0.233,0.303,1.19,43,72.88083532203412,-5.119164677965884
Jose A. Ferrer,WSN,121,2.81,0.493,0.316,0.193,0.387,1.24,50.2,74.76870454354226,-46.231295456457744
Scott Barlow,CIN,84,1.25,0.41700000000000004,0.31,0.255,0.295,1.23,44.2,76.1379099348956,-7.862090065104397
Ryan Walker,SFG,111,1.56,0.47200000000000003,0.273,0.235,0.35700000000000004,1.07,40.1,77.90286024288831,-33.09713975711169
Steven Cruz,KCR,62,1.15,0.514,0.29,0.221,0.32,0.95,38,78.1240633661566,16.124063366156605
Brad Lord,WSN,68,2.04,0.45799999999999996,0.307,0.21899999999999997,0.364,1.16,38.2,78.4605855919853,10.460585591985307
Robert Garcia,TEX,70,1.05,0.43200000000000005,0.36200000000000004,0.255,0.317,1.27,38.2,78.99154829311496,8.99154829311496
Hoby Milner,TEX,56,1.73,0.474,0.23600000000000002,0.21600000000000003,0.348,1.1,48,79.52891071551255,23.528910715512552
Chris Martin,TEX,59,1.06,0.505,0.369,0.257,0.408,1.14,34.1,79.77103882686436,20.771038826864356
Caleb Ferguson,PIT,93,1.49,0.467,0.313,0.19399999999999998,0.263,1.14,41.1,80.107566876036,-12.892433123963997
Tanner Scott,LAD,101,1.09,0.485,0.392,0.272,0.43799999999999994,1.16,45.2,80.6960385420993,-20.303961457900698
Grant Anderson,MIL,67,1.2,0.45299999999999996,0.313,0.251,0.366,1.09,49.1,80.86072313540997,13.86072313540997
Dennis Santana,PIT,35,1.13,0.498,0.395,0.214,0.331,0.8,42.1,82.71875236311234,47.718752363112344
Emmanuel Clase,CLE,70,1.37,0.45299999999999996,0.364,0.23399999999999999,0.376,1.22,45,84.02922962175933,14.029229621759328
John Schreiber,KCR,71,1.12,0.449,0.303,0.24600000000000002,0.375,1.25,39.1,84.24320959839538,13.243209598395381
Camilo Doval,SFG,72,1.78,0.425,0.315,0.23600000000000002,0.405,1.21,43.2,84.53686785729344,12.536867857293444
Lucas Erceg,KCR,60,2.1,0.43700000000000006,0.335,0.214,0.41700000000000004,1.13,39.2,86.20915055881991,26.209150558819914
Huascar Brazobán,NYM,106,1.38,0.418,0.33799999999999997,0.23800000000000002,0.379,1.24,45,86.76675372263027,-19.23324627736973
Jalen Beeks,ARI,105,1.49,0.41600000000000004,0.332,0.22899999999999998,0.368,1.15,41,86.85500604651142,-18.14499395348858
JoJo Romero,STL,57,1.5,0.43200000000000005,0.293,0.22699999999999998,0.384,1.28,31.1,87.15016438909385,30.150164389093845
Yariel Rodríguez,TOR,50,1.02,0.401,0.32899999999999996,0.257,0.373,0.84,49,87.35386034698807,37.35386034698807
Daysbel Hernández,ATL,51,1.22,0.375,0.262,0.24,0.33299999999999996,1.3,30,88.00372614858681,37.00372614858681
